time,open,high,low,close,volume
2025-09-04 08:00:00+00:00,45.62,45.992,45.466,45.858,285796.23
2025-09-04 12:00:00+00:00,45.862,46.032,44.856,45.181,599103.76
2025-09-04 16:00:00+00:00,45.18,45.356,44.35,44.437,480333.58
2025-09-04 20:00:00+00:00,44.44,45.81,44.383,45.328,350403.67
2025-09-05 00:00:00+00:00,45.327,45.646,45.075,45.172,250017.44
2025-09-05 04:00:00+00:00,45.17,46.276,45.169,46.209,267769.36
2025-09-05 08:00:00+00:00,46.209,47.202,45.802,47.033,585128.12
2025-09-05 12:00:00+00:00,47.028,47.774,46.063,46.618,1358357.6
2025-09-05 16:00:00+00:00,46.617,47.316,46.0,47.16,758415.92
2025-09-05 20:00:00+00:00,47.16,47.471,46.837,47.197,503965.67
2025-09-06 00:00:00+00:00,47.204,47.81,47.204,47.658,298785.07
2025-09-06 04:00:00+00:00,47.658,47.658,46.745,46.795,260084.92
2025-09-06 08:00:00+00:00,46.795,46.869,46.477,46.849,250914.34
2025-09-06 12:00:00+00:00,46.847,47.0,46.413,46.42,236239.78
2025-09-06 16:00:00+00:00,46.427,46.436,45.408,45.537,564206.57
2025-09-06 20:00:00+00:00,45.537,46.262,45.537,45.988,181245.12
2025-09-07 00:00:00+00:00,45.988,47.109,45.978,46.87,305655.24
2025-09-07 04:00:00+00:00,46.87,47.008,46.511,46.997,153871.86
2025-09-07 08:00:00+00:00,46.999,47.442,46.927,47.17,277831.59
2025-09-07 12:00:00+00:00,47.171,47.679,46.907,47.558,306322.41
2025-09-07 16:00:00+00:00,47.555,47.645,46.87,47.044,451207.65
2025-09-07 20:00:00+00:00,47.043,47.488,46.756,47.094,266785.51
2025-09-08 00:00:00+00:00,47.095,48.954,46.955,48.736,862602.78
2025-09-08 04:00:00+00:00,48.736,50.093,48.403,50.021,982544.39
2025-09-08 08:00:00+00:00,50.022,51.15,50.015,50.438,1193401.8
2025-09-08 12:00:00+00:00,50.436,51.912,50.398,51.542,1203124.3
2025-09-08 16:00:00+00:00,51.542,51.6,50.289,50.41,780705.82
2025-09-08 20:00:00+00:00,50.419,51.069,50.025,50.887,431372.3
2025-09-09 00:00:00+00:00,50.888,51.706,50.549,51.478,477690.08
2025-09-09 04:00:00+00:00,51.478,54.958,51.4,54.449,1823441.85
2025-09-09 08:00:00+00:00,54.454,55.14,53.675,53.751,711766.66
2025-09-09 12:00:00+00:00,53.751,54.283,52.051,52.652,1283916.43
2025-09-09 16:00:00+00:00,52.661,53.908,52.369,53.8,586206.25
2025-09-09 20:00:00+00:00,53.802,53.941,52.697,53.257,593660.59
2025-09-10 00:00:00+00:00,53.259,54.345,52.54,53.721,562341.78
2025-09-10 04:00:00+00:00,53.742,55.394,53.397,55.128,718216.0
2025-09-10 08:00:00+00:00,55.111,55.594,53.985,54.41,864226.07
2025-09-10 12:00:00+00:00,54.413,55.454,54.143,55.038,1348512.01
2025-09-10 16:00:00+00:00,55.069,55.342,53.656,54.35,556760.73
2025-09-10 20:00:00+00:00,54.362,56.0,54.283,55.437,684523.85
2025-09-11 00:00:00+00:00,55.436,56.169,55.2,56.001,839201.51
2025-09-11 04:00:00+00:00,56.0,56.052,55.151,55.302,576655.25
2025-09-11 08:00:00+00:00,55.299,55.379,53.0,53.539,1224539.99
2025-09-11 12:00:00+00:00,53.547,54.794,53.191,54.688,1181601.0
2025-09-11 16:00:00+00:00,54.693,55.944,54.513,55.717,691654.94
2025-09-11 20:00:00+00:00,55.716,57.145,55.403,57.013,974075.0
2025-09-12 00:00:00+00:00,56.991,57.377,56.376,56.572,908716.88
2025-09-12 04:00:00+00:00,56.569,57.3,56.342,56.387,635140.17
2025-09-12 08:00:00+00:00,56.39,56.558,55.578,55.637,744698.1
2025-09-12 12:00:00+00:00,55.641,56.798,54.848,55.404,843830.79
2025-09-12 16:00:00+00:00,55.4,56.52,54.975,56.454,675967.6
2025-09-12 20:00:00+00:00,56.456,56.463,54.778,55.253,913298.47
2025-09-13 00:00:00+00:00,55.255,55.961,54.888,55.904,589914.25
2025-09-13 04:00:00+00:00,55.904,55.904,54.861,55.157,345515.92
2025-09-13 08:00:00+00:00,55.157,56.389,55.157,56.239,384224.2
2025-09-13 12:00:00+00:00,56.244,56.855,55.541,55.739,737603.11
2025-09-13 16:00:00+00:00,55.737,55.902,54.264,54.993,978608.92
2025-09-13 20:00:00+00:00,54.991,55.157,54.25,54.463,612528.28
2025-09-14 00:00:00+00:00,54.464,55.323,53.876,54.01,781627.48
2025-09-14 04:00:00+00:00,54.01,54.955,53.663,54.379,547313.52
2025-09-14 08:00:00+00:00,54.375,54.79,53.822,53.914,458976.58
2025-09-14 12:00:00+00:00,53.916,54.42,53.543,54.047,947503.43
2025-09-14 16:00:00+00:00,54.036,54.9,54.013,54.188,688505.58
2025-09-14 20:00:00+00:00,54.185,54.356,53.582,53.701,553394.43
2025-09-15 00:00:00+00:00,53.702,54.368,53.236,54.287,553364.79
2025-09-15 04:00:00+00:00,54.288,54.643,53.021,53.234,651921.1
2025-09-15 08:00:00+00:00,53.233,54.026,52.693,53.299,746526.53
2025-09-15 12:00:00+00:00,53.299,53.743,52.248,52.668,1034205.87
2025-09-15 16:00:00+00:00,52.667,53.623,52.0,53.604,1040210.11
2025-09-15 20:00:00+00:00,53.599,54.034,53.356,53.995,391623.36
2025-09-16 00:00:00+00:00,53.997,54.02,53.161,53.235,425951.33
2025-09-16 04:00:00+00:00,53.235,53.966,52.956,53.31,315710.32
2025-09-16 08:00:00+00:00,53.326,53.572,52.31,52.696,502244.24
2025-09-16 12:00:00+00:00,52.691,54.054,52.2,54.031,1451435.85
2025-09-16 16:00:00+00:00,54.027,54.068,53.514,53.862,547490.78
2025-09-16 20:00:00+00:00,53.866,54.601,53.773,54.454,348784.49
2025-09-17 00:00:00+00:00,54.447,54.774,53.849,54.146,387801.09
2025-09-17 04:00:00+00:00,54.125,55.327,53.973,54.981,452118.73
2025-09-17 08:00:00+00:00,54.981,55.54,54.761,55.288,507335.34
2025-09-17 12:00:00+00:00,55.289,55.545,54.663,54.676,533515.75
2025-09-17 16:00:00+00:00,54.677,55.885,54.38,55.54,1058042.26
2025-09-17 20:00:00+00:00,55.526,57.99,55.524,57.742,816227.72
2025-09-18 00:00:00+00:00,57.742,59.406,57.644,58.958,1141343.59
2025-09-18 04:00:00+00:00,58.958,59.019,58.001,58.328,417696.24
2025-09-18 08:00:00+00:00,58.328,58.682,57.609,57.756,508840.89
2025-09-18 12:00:00+00:00,57.758,58.23,57.179,57.769,797814.26
2025-09-18 16:00:00+00:00,57.764,59.119,57.62,58.629,493340.23
2025-09-18 20:00:00+00:00,58.623,58.948,57.83,58.595,415546.85
2025-09-19 00:00:00+00:00,58.596,59.182,57.082,57.194,541732.39
2025-09-19 04:00:00+00:00,57.194,57.439,56.234,56.333,483857.07
2025-09-19 08:00:00+00:00,56.345,56.816,55.654,55.832,415261.31
2025-09-19 12:00:00+00:00,55.833,57.061,55.214,56.062,780181.1
2025-09-19 16:00:00+00:00,56.07,56.381,55.58,55.894,401071.13
2025-09-19 20:00:00+00:00,55.891,56.346,55.765,56.127,231797.09
2025-09-20 00:00:00+00:00,56.123,56.307,55.57,55.992,300221.54
2025-09-20 04:00:00+00:00,55.987,56.582,55.862,56.562,191401.48
2025-09-20 08:00:00+00:00,56.563,56.567,55.367,55.377,335125.47
2025-09-20 12:00:00+00:00,55.377,55.943,54.772,55.625,476681.98
2025-09-20 16:00:00+00:00,55.626,55.945,53.8,54.251,622200.68
2025-09-20 20:00:00+00:00,54.251,54.83,53.978,54.18,253449.92
2025-09-21 00:00:00+00:00,54.182,54.213,53.6,54.114,459263.98
2025-09-21 04:00:00+00:00,54.113,54.326,53.502,53.59,340648.28
2025-09-21 08:00:00+00:00,53.587,53.719,52.118,52.415,664222.93
2025-09-21 12:00:00+00:00,52.413,52.872,51.6,51.95,624554.33
2025-09-21 16:00:00+00:00,51.952,52.296,50.6,52.124,1175997.15
2025-09-21 20:00:00+00:00,52.124,52.151,50.699,50.777,485946.4
2025-09-22 00:00:00+00:00,50.778,51.231,49.028,49.712,1379242.38
2025-09-22 04:00:00+00:00,49.711,50.216,46.196,48.525,1657061.35
2025-09-22 08:00:00+00:00,48.525,49.4,48.444,48.805,750365.15
2025-09-22 12:00:00+00:00,48.81,50.204,47.969,48.291,1036585.65
2025-09-22 16:00:00+00:00,48.291,48.558,47.0,47.09,1018548.5
2025-09-22 20:00:00+00:00,47.091,48.0,46.8,47.216,691838.81
2025-09-23 00:00:00+00:00,47.215,47.311,45.263,46.075,1146112.77
2025-09-23 04:00:00+00:00,46.071,48.8,45.921,48.622,695831.51
2025-09-23 08:00:00+00:00,48.623,48.885,47.663,48.01,393336.82
2025-09-23 12:00:00+00:00,48.007,48.563,46.821,47.271,868254.91
2025-09-23 16:00:00+00:00,47.28,47.669,44.418,44.506,1577424.96
2025-09-23 20:00:00+00:00,44.521,45.5,44.303,44.595,811697.38
2025-09-24 00:00:00+00:00,44.603,45.606,44.032,44.1,812608.0
2025-09-24 04:00:00+00:00,44.1,45.132,43.568,44.437,1281264.59
2025-09-24 08:00:00+00:00,44.438,46.02,43.195,45.904,1619655.78
2025-09-24 12:00:00+00:00,45.902,46.744,44.607,45.282,1123557.71
2025-09-24 16:00:00+00:00,45.285,46.15,44.861,46.0,626790.43
2025-09-24 20:00:00+00:00,46.001,46.353,45.337,45.65,499970.54
2025-09-25 00:00:00+00:00,45.662,46.0,42.941,43.439,1201106.91
2025-09-25 04:00:00+00:00,43.439,43.807,41.785,42.137,1971153.97
2025-09-25 08:00:00+00:00,42.13,43.546,41.336,41.7,1109942.95
2025-09-25 12:00:00+00:00,41.7,42.406,40.504,41.717,2341312.33
2025-09-25 16:00:00+00:00,41.722,43.046,41.129,42.274,1956665.38
